,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
Mordvins ,0.4148936170212769,-7.845744680851064,0.9095744680851063,22.388297872340424,-23.515957446808514,-1.25,5.914893617021276,-1.3670212765957446,-1.0159574468085104,-1.5265957446808511,-1.0797872340425532,9.436170212765958
Tatars,0.4148936170212769,-6.845744680851064,-1.0904255319148937,10.888297872340425,-26.015957446808514,4.75,2.414893617021276,-0.8670212765957446,-0.01595744680851041,3.473404255319149,0.9202127659574468,10.436170212765958
Udmurts,-5.585106382978723,-8.345744680851064,-1.5904255319148937,1.3882978723404253,-21.515957446808514,-3.75,-8.085106382978724,-1.3670212765957446,-9.51595744680851,-1.0265957446808511,-1.0797872340425532,61.43617021276596
Scotland,1.414893617021277,-7.845744680851064,1.9095744680851063,-5.111702127659575,37.984042553191486,-3.75,-6.085106382978724,-1.3670212765957446,-8.51595744680851,-1.0265957446808511,-0.5797872340425532,-5.5638297872340425
Serbia,0.9148936170212769,24.154255319148938,-1.5904255319148937,2.3882978723404253,-26.515957446808514,-2.25,-0.08510638297872397,-0.8670212765957446,7.98404255319149,-0.5265957446808511,0.42021276595744683,-3.5638297872340425
Slovakia,-1.085106382978723,7.154255319148936,-0.5904255319148937,27.888297872340424,-20.015957446808514,-0.25,-6.085106382978724,-0.36702127659574457,-3.5159574468085104,-1.0265957446808511,-0.5797872340425532,-2.5638297872340425
Slovenia,1.414893617021277,11.654255319148936,-0.5904255319148937,24.388297872340424,-16.515957446808514,-2.75,-5.585106382978724,-1.3670212765957446,-5.01595744680851,-0.5265957446808511,-1.0797872340425532,-5.5638297872340425
Spain,-6.085106382978723,-4.345744680851064,-1.0904255319148937,-11.611702127659575,34.484042553191486,-1.25,-0.08510638297872397,0.13297872340425543,-3.0159574468085104,0.9734042553191489,-1.0797872340425532,-5.5638297872340425
Andalusia,-7.585106382978723,0.6542553191489358,-2.0904255319148937,-10.111702127659575,23.984042553191486,-1.25,2.414893617021276,0.6329787234042554,-0.01595744680851041,1.4734042553191489,-1.0797872340425532,-5.5638297872340425
Aragon,-5.585106382978723,5.654255319148936,-1.0904255319148937,-11.611702127659575,25.984042553191486,-3.25,2.414893617021276,-1.3670212765957446,-5.01595744680851,2.473404255319149,-1.0797872340425532,-5.5638297872340425
Asturias,-5.585106382978723,-6.845744680851064,-2.0904255319148937,-11.111702127659575,23.984042553191486,3.75,-0.08510638297872397,0.6329787234042554,3.9840425531914896,1.4734042553191489,-1.0797872340425532,-5.5638297872340425
