,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
South Greece,-0.7039308265752671,0.011961037085489967,-0.6098894962926538,-0.23289757538886965,-0.5819103770465629,-0.22158611479092494,1.5266386298246466,-0.20662294721646504,2.0558859265650278,1.9147316691563894,-0.21193062137544671,-0.3968931000948122
Crete,-0.41472847649626743,-0.14311999547120796,-0.6098894962926538,-0.3451661501917094,-0.8102577508098061,1.5511028035364747,3.465882294737036,2.045267723896314,0.119116472412944,1.5927553240746353,-0.11379525975331867,-0.3968931000948122
Aegean Islands,-0.5304094165278673,-0.4532820605846038,0.22908044494894797,-0.2703204336564829,-0.6441869335274474,1.255654650481908,1.593509101028522,0.9193223883399244,1.4506454721425015,2.8806607044016523,-0.21193062137544671,-0.3968931000948122
Hungary,0.1058357536459318,0.5547446510339327,-0.050576202131585944,1.1891710387804335,-0.6649457856877422,-0.22158611479092494,-0.21199362147611597,0.9193223883399244,-0.24402780024057166,-0.9830554365793985,-0.21193062137544671,-0.36122584253371054
Iceland,2.4772950242937286,-0.6859036094196507,1.0680503861905497,0.7026738813014614,0.3107202658461152,-1.255654650481908,-1.0813097471264972,-0.7695956149946598,-1.2124125273166135,-0.9830554365793985,-0.01565989813119064,-0.32555858497260887
Ireland,-0.18336659643306777,-0.6083630931413018,1.6273636803516174,-0.8316633076706815,1.9299107343491126,-0.9602064974273414,-0.9475688047187463,-0.7695956149946598,-0.970316345547603,-0.9830554365793985,-0.21193062137544671,-0.3968931000948122
Italy,-0.35688800648046753,-0.4532820605846038,0.22908044494894797,-0.7193947328678418,0.18616715288434613,1.4033787270091913,0.9916748601936427,0.9193223883399244,0.42173669962420707,0.6268262888293725,-0.21193062137544671,-0.3968931000948122
North Italy,-0.06768565640146795,-0.6083630931413018,0.7883937391100158,-0.6819718746002286,0.6221030482505377,0.9602064974273414,0.2560996769510124,0.07486338667263234,0.119116472412944,0.3048499437476183,-0.21193062137544671,-0.3968931000948122
Tuscany,-0.41472847649626743,-0.5695928350021272,0.22908044494894797,-0.7193947328678418,0.7466561612123068,1.4033787270091913,0.45671109056263887,0.3563497205617297,-0.12297970935606645,0.3048499437476183,-0.21193062137544671,-0.3968931000948122
Central Italy,-0.5882498865436672,-0.5308225768629528,-0.33023284921211987,-0.7942404494030683,0.061614039922577093,1.9942750331183245,1.9947319282517748,2.045267723896314,0.1796405178551966,0.9488026339111267,-0.21193062137544671,-0.3968931000948122
South Italy,-0.5882498865436672,-0.41451180244542934,-0.6098894962926538,-0.7942404494030683,-0.29128644680243515,1.8465509565910412,1.7941205146401484,1.482295056118119,1.0269771540467332,0.6268262888293725,-0.21193062137544671,-0.3968931000948122
Sicily,-0.4725689465120674,-0.4532820605846038,-0.6098894962926538,-0.6819718746002286,-0.3535630032833197,1.255654650481908,1.9947319282517748,1.2008087222290218,1.2690733358157436,1.5927553240746353,-0.01565989813119064,-0.3968931000948122
Sardinia,-0.8774522366226668,2.2218657510184356,-0.050576202131585944,-0.9439318824735212,-0.6649457856877422,2.2897231861728913,0.12235873454326145,1.482295056118119,-0.06245566391381384,-0.017126401334135906,-0.21193062137544671,-0.3968931000948122
